codigo_interno,nome,codigo_barras,preco,estoque,categoria,ativo
14111,"ACUCAR PRINCESA 500G MASCAVO","7897962901123",6.22,0,"mercearia",1
5358,"ACUCAR PRINCESA KG CRISTAL","7897962900096",3.49,0,"mercearia",1
10087,"ACUCAR PRINCESA KG TRITURADO","7897962900089",3.99,0,"mercearia",1
6304,"ACUCAR UNIAO KG CRISTAL","7891959014612",3.65,0,"mercearia",1
370,"ACUCAR UNIAO KG REFINADO","7891910000197",7.95,0,"mercearia",1
6583,"ADAPT BLUETOOFE P/APAR WIRELESS MUSIC","1064971",10,0,"mercearia",1
17230,"ADAPT CARTAO MICRO SD 2EM1 PEN DRIVE","6393",15,0,"mercearia",1
5295,"ADAPT LEON 2P2 FEM X 1P3 MACHO","1052251",10,0,"mercearia",1
6578,"ADAPT OTG CHAV USB P/CELULAR","7952486360730",10,0,"mercearia",1
15254,"ADAPT WI-FI INTELBRAS BLUETOOFE P/APAR WIRELESS MUSIC","7896637677660",122,0,"mercearia",1
7198,"ADAPT WI-FI NOTE INTELBRAS BLUETOOFE P/APAR WIRELESS MUSIC","7896637677554",122,0,"mercearia",1
12821,"ADESIVO P/ SEIOS CHINA","7802820001273",18,0,"mercearia",1
7612,"ADESIVO ROSTO PEDRA JADE","126592",6,0,"mercearia",1
6289,"ADESIVO UNHA  PEDRA","955025",4,0,"mercearia",1
3634,"ADESIVO UNHA C/04 PEQ","102144",3,0,"mercearia",1
8608,"ADESIVO UNHA C/10 GDE CART","7892701202226",3,0,"mercearia",1
14273,"ADESIVO UNHA C/12 GDE CART","1407",5,0,"mercearia",1
3633,"ADESIVO UNHA C/20 GDE","1035926",5,0,"mercearia",1
517,"ADOC ADOCIL 100ML TRAD SACARINA","7891104393104",4.75,0,"mercearia",1
18887,"ADOC ADOCIL 160ML COM STEVIA","7896094930261",12.99,0,"mercearia",1
10290,"ADOC ADOCIL 200ML TRAD SACARINA","7891104393067",8.25,0,"mercearia",1
1536,"ADOC ADOCIL 80ML BCO SUCAROSE BCO","7896094914070",9.5,0,"mercearia",1
13479,"ADOC ASSUGRIN 100ML TRAD","7896569405737",3.22,0,"mercearia",1
3850,"ADOC MARATA 100ML TRAD","7898286202231",3.5,0,"mercearia",1
